Nombres,Apellidos,id,email,user_id,age,occupation,FinancialGoals,RiskTolerance,FinancialPreference,FinancialOptions,FinalKnowledge,target_period,income_source,income_average,expenses_average,saving_plan,contribution
Rixjomh,Povna,718919,rixjomh.povna@gmail.com,718919,69,Controlador de tráfico aéreo,VIVIENDA,MODERADO,AHORRO,,AVANZADO,1 año,dependiente,548843,412840,NO,40
Cvlisikp,Boeaf,797826,cvlisikp.boeaf@yahoo.com,797826,38,Filósofos,VACACIONES,CONSERVADOR,AHORRO,,INTERMEDIO,10 años,ambos,823536,473397,SI,98
Dcii,Cmmvcq,617096,dcii.cmmvcq@outlook.com,617096,69,,VIVIENDA,ARRIESGADO,INVERSION,OTROS,NINGUNO,5 meses,dependiente,828342,485594,NO,59
Qcepsmwb,Xhvukxg,957587,qcepsmwb.xhvukxg@hotmail.com,957587,48,,JUBILACION,ARRIESGADO,INVERSION,ETFS,NINGUNO,5 meses,dependiente,868632,506774,NO,39
Rknj,Rumyz,120636,rknj.rumyz@gmail.com,120636,24,Agrónomo,VIVIENDA,CONSERVADOR,INVERSION,ACCIONES,BASICO,1 año,ambos,824883,772137,SI,13
Jtdka,Unglkjwg,771768,jtdka.unglkjwg@outlook.com,771768,62,Policía,OTROS,MODERADO,AHORRO,,NINGUNO,5 meses,jubilación,790220,519032,NO,93
Fpenirt,Xkhbq,134711,fpenirt.xkhbq@outlook.com,134711,53,Psicólogos,VACACIONES,CONSERVADOR,INVERSION,CDF,INTERMEDIO,5 meses,jubilación,501050,410166,SI,71
Grqovee,Ltgjsdcd,573330,grqovee.ltgjsdcd@hotmail.com,573330,52,Filósofos,EDUCACION,ARRIESGADO,AHORRO,,BASICO,10 años,ambos,488801,389975,NO,34
Ftaic,Qocvhw,961627,ftaic.qocvhw@hotmail.com,961627,24,Modelos de moda,JUBILACION,MODERADO,AHORRO,,BASICO,5 meses,independiente,850986,848159,SI,59
Ukto,Rfyilwa,428325,ukto.rfyilwa@outlook.com,428325,35,Fotógrafo,OTROS,MODERADO,INVERSION,ACCIONES,INTERMEDIO,10 años,independiente,415712,348772,SI,41
Tyretjek,Mppfycgqlw,529628,tyretjek.mppfycgqlw@yahoo.com,529628,47,Bibliotecario,IMPREVISTOS,MODERADO,AHORRO,,BASICO,10 años,dependiente,726157,562111,SI,51
Cdghnmc,Uyuieinyv,440158,cdghnmc.uyuieinyv@gmail.com,440158,32,Economista,VIVIENDA,ARRIESGADO,AHORRO,,AVANZADO,1 año,independiente,310170,296842,SI,64
Vwkef,Qyvok,157325,vwkef.qyvok@hotmail.com,157325,64,Matemático,VIVIENDA,CONSERVADOR,INVERSION,BONOS,BASICO,1 año,jubilación,299771,215435,NO,85
Dxbby,Wmtuhq,991310,dxbby.wmtuhq@yahoo.com,991310,31,,JUBILACION,CONSERVADOR,INVERSION,ETFS,AVANZADO,1 año,ambos,417145,412215,NO,79
Jqcg,Wwztltaqq,102410,jqcg.wwztltaqq@outlook.com,102410,45,Cocinero,JUBILACION,MODERADO,AHORRO,,NINGUNO,1 mes,dependiente,473858,407035,SI,39
Oapruj,Hieynzrxt,731217,oapruj.hieynzrxt@outlook.com,731217,37,Modelos de moda,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,BONOS,BASICO,5 meses,independiente,821447,549129,NO,87
Jgtun,Dfhvnbz,880247,jgtun.dfhvnbz@gmail.com,880247,28,Modelos de moda,VIVIENDA,ARRIESGADO,AHORRO,,NINGUNO,5 meses,independiente,645557,632649,NO,32
Rgkyox,Esnur,697462,rgkyox.esnur@yahoo.com,697462,44,Asistente veterinario,OTROS,CONSERVADOR,AHORRO,,NINGUNO,1 mes,independiente,768333,398855,SI,9
Aqratvmb,Csqxpdgq,263621,aqratvmb.csqxpdgq@gmail.com,263621,52,Ingeniero químico,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,OTROS,INTERMEDIO,10 años,ambos,882019,754020,NO,22
Yxwv,Eegmlreom,410453,yxwv.eegmlreom@hotmail.com,410453,37,Veterinario,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,BASICO,1 año,independiente,588565,364027,NO,95
Qbbljdkm,Sijiazepcl,239700,qbbljdkm.sijiazepcl@hotmail.com,239700,66,Ingeniero de telecomunicaciones,JUBILACION,MODERADO,INVERSION,OTROS,NINGUNO,1 año,jubilación,565813,515195,SI,40
Cgcrvkhm,Nbiaqm,694445,cgcrvkhm.nbiaqm@hotmail.com,694445,35,Matemático,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,OTROS,NINGUNO,1 mes,ambos,858953,766039,NO,65
Szpwnly,Biqzvppouq,945310,szpwnly.biqzvppouq@yahoo.com,945310,63,Mozos y taberneros,VACACIONES,ARRIESGADO,AHORRO,,NINGUNO,1 año,jubilación,776918,510375,SI,70
Rwbqonxr,Xbwppvdqn,741358,rwbqonxr.xbwppvdqn@outlook.com,741358,25,Músico,VIVIENDA,MODERADO,AHORRO,,AVANZADO,10 años,dependiente,339940,207689,NO,52
Dubjmerk,Skewn,452028,dubjmerk.skewn@outlook.com,452028,64,Directores general,IMPREVISTOS,MODERADO,INVERSION,BONOS,INTERMEDIO,1 año,ambos,305870,158332,NO,12
Fhsabtr,Osvpw,178034,fhsabtr.osvpw@yahoo.com,178034,65,Catador,IMPREVISTOS,ARRIESGADO,INVERSION,OTROS,BASICO,1 mes,independiente,712758,440682,NO,68
Carugbo,Ntpeyszvwd,255277,carugbo.ntpeyszvwd@outlook.com,255277,55,Filósofos,VIVIENDA,MODERADO,AHORRO,,AVANZADO,1 año,ambos,551752,482054,SI,85
Omkcg,Ytwrmdy,454478,omkcg.ytwrmdy@yahoo.com,454478,55,Cartógrafos y agrimensores,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,BASICO,1 mes,independiente,352442,208194,SI,84
Silyp,Meevlo,317544,silyp.meevlo@yahoo.com,317544,30,Agente de bolsa,JUBILACION,ARRIESGADO,AHORRO,,INTERMEDIO,1 año,independiente,593725,297976,SI,80
Ntykhpg,Ltccrict,178980,ntykhpg.ltccrict@yahoo.com,178980,40,Asistente veterinario,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,NINGUNO,10 años,independiente,458701,438730,NO,29
Ckulaonz,Hqabcfg,264705,ckulaonz.hqabcfg@yahoo.com,264705,36,Directores general,OTROS,CONSERVADOR,INVERSION,CDF,NINGUNO,1 año,independiente,661268,518548,NO,79
Wbvatuu,Uemlcd,174235,wbvatuu.uemlcd@outlook.com,174235,52,Agente de viaje,EDUCACION,ARRIESGADO,AHORRO,,NINGUNO,1 mes,ambos,756023,730373,SI,36
Hlic,Qycjbidy,958995,hlic.qycjbidy@outlook.com,958995,30,Operador de máquina,VIVIENDA,MODERADO,AHORRO,,INTERMEDIO,1 mes,dependiente,830634,458221,SI,33
Wtlput,Oxgpaiwddm,735736,wtlput.oxgpaiwddm@gmail.com,735736,63,Actor,VIVIENDA,MODERADO,AHORRO,,INTERMEDIO,1 año,independiente,397553,395626,SI,13
Aqxzfzl,Trudxeu,119583,aqxzfzl.trudxeu@gmail.com,119583,41,Piloto,VIVIENDA,CONSERVADOR,INVERSION,ETFS,NINGUNO,1 mes,dependiente,868301,472605,NO,40
Xtrith,Eehqdjpc,920340,xtrith.eehqdjpc@yahoo.com,920340,70,Agente inmobiliario,VACACIONES,ARRIESGADO,INVERSION,OTROS,BASICO,1 año,dependiente,838159,780637,NO,21
Hbzz,Cjaachn,575640,hbzz.cjaachn@yahoo.com,575640,38,Operadores de equipos ópticos y electrónicos,OTROS,MODERADO,INVERSION,ETFS,NINGUNO,5 meses,ambos,682395,546548,NO,22
Fursaq,Eqnoe,447559,fursaq.eqnoe@gmail.com,447559,53,Matemático,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,CDF,AVANZADO,1 año,jubilación,753284,684609,SI,54
Xnjugd,Cvwkl,687385,xnjugd.cvwkl@hotmail.com,687385,19,Ingeniero de telecomunicaciones,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,AVANZADO,5 meses,ambos,457234,357617,NO,27
Dntnujl,Uibjrut,134184,dntnujl.uibjrut@hotmail.com,134184,23,Bombero,IMPREVISTOS,CONSERVADOR,AHORRO,,BASICO,10 años,independiente,665070,521984,SI,85
